date,kospi_open,kospi_high,kospi_low,kospi_close,kospi_volume,btc_open,btc_high,btc_low,btc_close,btc_volume
2025-09-01,3164.580078125,3177.39990234375,3135.02001953125,3142.929931640625,260100,150700000.0,152789000.0,149000000.0,152419000.0,2147.55268421
2025-09-02,3155.72998046875,3174.159912109375,3151.929931640625,3172.35009765625,310700,152419000.0,155445000.0,150984000.0,154850000.0,1920.61439848
2025-09-03,3177.75,3187.47998046875,3167.22998046875,3184.419921875,335800,154850000.0,156000000.0,154032000.0,154890000.0,1040.1957758
2025-09-04,3188.840087890625,3205.610107421875,3185.489990234375,3200.830078125,286300,154890000.0,156515000.0,153093000.0,155410000.0,1070.14485107
2025-09-05,3208.830078125,3214.639892578125,3196.18994140625,3205.1201171875,323800,155337000.0,157853000.0,154502000.0,154930000.0,1644.26975383
2025-09-08,3209.81005859375,3221.139892578125,3206.340087890625,3219.590087890625,372300,155001000.0,156838000.0,154592000.0,156048000.0,850.15690616
2025-09-09,3231.31005859375,3260.050048828125,3221.97998046875,3260.050048828125,439900,156048000.0,157200000.0,154697000.0,155450000.0,1398.29118063
2025-09-10,3272.199951171875,3317.77001953125,3272.070068359375,3314.530029296875,564700,155451000.0,158800000.0,154950000.0,158561000.0,1438.34464883
2025-09-11,3336.60009765625,3344.699951171875,3311.860107421875,3344.199951171875,435600,158562000.0,160400000.0,157777000.0,160375000.0,1550.22561596
2025-09-12,3374.64990234375,3395.5400390625,3362.860107421875,3395.5400390625,448900,160395000.0,161794000.0,160000000.0,161101000.0,1460.8794118
2025-09-15,3407.780029296875,3420.22998046875,3391.330078125,3407.31005859375,378900,160338000.0,161791000.0,159500000.0,160705000.0,1328.26487987
2025-09-16,3421.1298828125,3452.5,3418.10009765625,3449.6201171875,406200,160705000.0,162334000.0,160125000.0,162167000.0,1013.13497679
2025-09-17,3433.830078125,3433.830078125,3406.75,3413.39990234375,326600,162200000.0,163000000.0,160210000.0,161468000.0,1630.74076706
2025-09-18,3432.77001953125,3461.300048828125,3422.77001953125,3461.300048828125,391200,161468000.0,163333000.0,161372000.0,162478000.0,1738.78345738
2025-09-19,3461.22998046875,3467.889892578125,3434.610107421875,3445.239990234375,348800,162478000.0,163080000.0,161500000.0,162138000.0,1389.24628029
2025-09-22,3463.840087890625,3482.25,3458.8701171875,3468.64990234375,287900,161410000.0,161631000.0,159000000.0,160730000.0,3058.73284497
2025-09-23,3489.4599609375,3494.489990234375,3467.830078125,3486.18994140625,358300,160731000.0,161350000.0,158668000.0,159679000.0,1105.98353873
2025-09-24,3492.030029296875,3497.949951171875,3442.409912109375,3472.139892578125,287100,159680000.0,161200000.0,159001000.0,160700000.0,989.63619655
2025-09-25,3458.97998046875,3479.419921875,3454.080078125,3471.110107421875,293100,160700000.0,161037000.0,158000000.0,158200000.0,2072.65761536
2025-09-26,3440.389892578125,3441.909912109375,3365.72998046875,3386.050048828125,399200,158219000.0,159307000.0,157100000.0,158128000.0,1636.24151791
2025-09-29,3414.429931640625,3439.1201171875,3413.330078125,3431.2099609375,416500,160579000.0,163200000.0,159300000.0,162976000.0,1561.77655952
2025-09-30,3436.0,3443.3798828125,3421.889892578125,3424.60009765625,526400,162976000.0,163655000.0,161111000.0,162828000.0,1347.68465165
2025-10-01,3444.06005859375,3459.739990234375,3440.419921875,3455.830078125,493600,162828000.0,168429000.0,162789000.0,168424000.0,2391.53349082
2025-10-02,3525.47998046875,3565.9599609375,3512.159912109375,3549.2099609375,402100,168424000.0,170903000.0,167709000.0,170704000.0,2634.57350068
2025-10-10,3598.110107421875,3617.860107421875,3569.43994140625,3610.60009765625,407400,177616000.0,178151000.0,165000000.0,172257000.0,6799.93776544
2025-10-13,3550.080078125,3584.550048828125,3522.5400390625,3584.550048828125,408000,173833000.0,175337000.0,170778000.0,171680000.0,2243.15905637
2025-10-14,3604.1201171875,3646.77001953125,3535.52001953125,3561.81005859375,734100,171695000.0,172444000.0,168000000.0,170070000.0,2556.34346069
2025-10-15,3580.639892578125,3659.909912109375,3577.06005859375,3657.280029296875,543600,170109000.0,170740000.0,168001000.0,168539000.0,1724.32577247
2025-10-16,3675.820068359375,3748.3701171875,3675.820068359375,3748.3701171875,495800,168642000.0,170124000.0,164858000.0,165290000.0,2618.72985457
2025-10-17,3732.760009765625,3794.8701171875,3722.070068359375,3748.889892578125,420800,165291000.0,166565000.0,159671000.0,163639000.0,4263.22344629
2025-10-20,3775.39990234375,3814.68994140625,3728.3798828125,3814.68994140625,410100,164806000.0,167468000.0,163398000.0,165911000.0,1448.62619236
2025-10-21,3851.010009765625,3893.06005859375,3816.18994140625,3823.840087890625,526900,165911000.0,169336000.0,162011000.0,163400000.0,2420.85720656
2025-10-22,3827.22998046875,3883.679931640625,3794.52001953125,3883.679931640625,597200,163400000.0,164406000.0,162500000.0,163153000.0,1291.51295714
2025-10-23,3835.7900390625,3902.2099609375,3822.330078125,3845.56005859375,423600,163153000.0,166400000.0,163035000.0,165546000.0,1119.20412068
2025-10-24,3893.22998046875,3951.070068359375,3886.639892578125,3941.590087890625,426900,165546000.0,167381000.0,164420000.0,165703000.0,1440.09487313
